Centro,Direccion,Longitud,Latitud,Tipo,Id,Ciudad,Horario,institucion
CAPS Ciudad de los Cuartetos,AV COLON 1,-64.1297938713844,-31.3523266697604,CAPS,CAPS Ciudad de los Cuartetos,"Córdoba, Argentina",NULL,NULL
ANA EVANGELINA,VIEDMA RECALDE 5980,-64.263284,-31.426628,Sala Cuna,ANA EVANGELINA,"Córdoba, Argentina",NULL,CS 076 - Villa Union
Centro de Adicciones Jaire,Ancasti 5750,-64.11154409,-31.43940956,Salud Mental,Centro de Adicciones Jaire,"Córdoba, Argentina",NULL,CS 091 - Villa Bustos
ANGELITOS DE COLORES,RAYO CORTADO Y GUANDACOL,-64.127133,-31.433611,Sala Cuna,ANGELITOS DE COLORES,"Córdoba, Argentina",NULL,CS 056 - Empalme
ANGELITOS DEL REY,ERWIN SCHRODINGER 5756,-64.0785767,-31.4682646,Sala Cuna,ANGELITOS DEL REY,"Córdoba, Argentina",NULL,CS 090 - Ituzaingo Anexo
Centro de Adicciones Las Aldeas,Gabriel Ortega 8035,-64.2572613,-31.3300849,Salud Mental,Centro de Adicciones Las Aldeas,"Córdoba, Argentina",NULL,CS 033 - Arguello
BRIG. SAN MARTIN Bº JOSE HERNANDEZ,Trenque Lauquen 3200,-64.1559524536133,-31.4452972412109,Escuela municipal,BRIG. SAN MARTIN Bº JOSE HERNANDEZ,"Córdoba, Argentina",NULL,CS 027 - Pilar
ANGELITOS DE DIOS,TALACASTO 5059,-64.1210277777778,-31.4364444444444,Sala Cuna,ANGELITOS DE DIOS,"Córdoba, Argentina",NULL,CS 056 - Empalme
AMMAR,Oncativo 427. PB,-64.1815010277749,-31.4073525905562,Centro Comunitario,AMMAR,"Córdoba, Argentina",NULL,CS 025 - San Martin
APRENDIENDO A VOLAR,SINSACATE 2405 ESQUINA JUAN ROQUE,-64.1504682,-31.4151881,Sala Cuna,APRENDIENDO A VOLAR,"Córdoba, Argentina",NULL,CS 032 - Yapeyu
BENJAMINOS,AVIADOR ZAAR 415,-64.252869,-31.4286894,Sala Cuna,BENJAMINOS,"Córdoba, Argentina",NULL,CS 093 - Villa la Tela
ANGEL GASTALDI Bº COLONIA LOLA,San Jerónimo 5550,-64.1147537231445,-31.4246082305908,Escuela municipal,ANGEL GASTALDI Bº COLONIA LOLA,"Córdoba, Argentina",NULL,CS 010 - Colonia Lola
ANGELES DE LUZ,"CALLE PÚBLICA S/N (MANZANA 9, AL LADO DEL JARDIN INFANTIL VOLUNTARIADO ARGENTINO)",-64.143556,-31.348694,Sala Cuna,ANGELES DE LUZ,"Córdoba, Argentina",NULL,CS 094 - Parque Liceo III Seccion
Biblioteca Popular de barrio Talleres,Carlos III 1713,-64.1512837001809,-31.3899729856276,Centro Comunitario,Biblioteca Popular de barrio Talleres,"Córdoba, Argentina",NULL,CS 004 - Nueva Italia
ARCO IRIS DE FANTASÍA,DIEGO DE TORRES N° 2635 ESQ. ALONSO DE REYNOSO,-64.1442179,-31.4416062,Sala Cuna,ARCO IRIS DE FANTASÍA,"Córdoba, Argentina",NULL,CS 037 - Jose I. Diaz Il secc.
Casa Pueblo Córdoba del Centro,JUSTO PAEZ MOLINA 254,-64.2224283297298,-31.4009692086054,Centro Comunitario,Casa Pueblo Córdoba del Centro,"Córdoba, Argentina",NULL,CS 009 - Alberdi Oeste
CAPS (Centro de Atención Primaria de la Salud) Parque Las Rosas,Amsterdam y María Curia,-64.2403851096105,-31.4046897400558,CAPS,CAPS (Centro de Atención Primaria de la Salud) Parque Las Rosas,"Córdoba, Argentina",NULL,CS 070 - Estacion Flores
CAPDEVILA,FEDERICO RAUCH 2708,-64.1329116821289,-31.376012802124,CPC,CAPDEVILA,"Córdoba, Argentina",NULL,CS 018 - San Jorge
Capilla Nuestra Señora del Trabajo,Rumiñahui 7967,-64.2751733066226,-31.329768608548,Centro Comunitario,Capilla Nuestra Señora del Trabajo,"Córdoba, Argentina",NULL,CS 034 - Villa 9 de Julio
CAPS Ciudad De Mis Sueños,Manzana 45,-64.086029923293,-31.4763116405745,CAPS,CAPS Ciudad De Mis Sueños,"Córdoba, Argentina",NULL,CS 090 - Ituzaingo Anexo
CCC (casa convivencial comunitaria)  Virgen de Lourdes,Viña del Mar 5011,-64.2068771740811,-31.4710772598179,Casa Convivencial,CCC (casa convivencial comunitaria)  Virgen de Lourdes,"Córdoba, Argentina",NULL,CS 043 - Guemes
Centro Comunitario de Salud Mental Villa Libertador,TILCARA 1428,-64.2230703002437,-31.4722678906598,Centro Comunitario,Centro Comunitario de Salud Mental Villa Libertador,"Córdoba, Argentina",NULL,CS 046 - Santa Isabel
ARGUELLO,"AV. RAFAEL NÚÑEZ 6500,ESQ. AV. RICARDO ROJAS",-64.2543334960938,-31.3415756225586,CPC,ARGUELLO,"Córdoba, Argentina",NULL,CS 033 - Arguello
CE.CO.PAR.,BELARDINELLI 3578,-64.195024,-31.452168,Sala Cuna,CE.CO.PAR.,"Córdoba, Argentina",NULL,CS 040 - Las Flores
Clínica Mehelar#07#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#07#2,"Córdoba, Argentina",NULL,CS 007 - Pueyrredon
CASA PUEBLO SUR,ICHO CRUZ 80,-64.2041805,-31.4811961,Sala Cuna,CASA PUEBLO SUR,"Córdoba, Argentina",NULL,CS 042 - Comercial
Centro de Acompañamiento Comunitario Héctor Oberlin,MARTIN CARTECHINI 428,-64.1320087452246,-31.4148971688116,Centro Comunitario,Centro de Acompañamiento Comunitario Héctor Oberlin,"Córdoba, Argentina",NULL,CS 058 - Maldonado
CEB (Centro de Encuentro Barrial) de Villa La Tela,Aviador Zanni esquina Zaar,-64.2522852271857,-31.4313414808193,Centro Comunitario,CEB (Centro de Encuentro Barrial) de Villa La Tela,"Córdoba, Argentina",NULL,CS 093 - Villa la Tela
ARCO IRIS DE AVENTURA,SOFÍA LUQUE 2548,-64.134424,-31.440259,Sala Cuna,ARCO IRIS DE AVENTURA,"Córdoba, Argentina",NULL,CS 096 - Jose Ignacio Diaz 1 Seccion
Cancha de Futbol,Altos de Chipión y Bernasconi,-64.2316032087295,-31.4830309137611,Centro Comunitario,Cancha de Futbol,"Córdoba, Argentina",NULL,CS 097 - Cabildo
Centro Asistencial Córdoba - Secretaría de Prevención y Asistencia de las Adicciones,Rosario de Santa Fé 374,-64.1793561475377,-31.4174446976562,Centro Comunitario,Centro Asistencial Córdoba - Secretaría de Prevención y Asistencia de las Adicciones,"Córdoba, Argentina",NULL,NULL
CAPS (Centro de Atención Primaria de la Salud)  Sol Naciente,Manzana 11,-64.2423743470788,-31.3217788306402,CAPS,CAPS (Centro de Atención Primaria de la Salud)  Sol Naciente,"Córdoba, Argentina",NULL,CS 049 - Colinas del Cerro
ARCO IRIS DE ENSUEÑO,ONOFRIO PALAMARA 3065,-64.1561222,-31.4643766,Sala Cuna,ARCO IRIS DE ENSUEÑO,"Córdoba, Argentina",NULL,CS 075 - Cerveceros
Clínica Mehelar#14#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#14#1,"Córdoba, Argentina",NULL,CS 014 - General Bustos
CENTRO COMUNITARIO ESPERANZA,CORTADA DEL ROSARIO 657,-64.168664,-31.313104,Sala Cuna,CENTRO COMUNITARIO ESPERANZA,"Córdoba, Argentina",NULL,CS 051 - Guinazu
ARCO IRIS DE FELICIDAD,MANZ 71 LOTE 1,-64.1297159,-31.4587488,Sala Cuna,ARCO IRIS DE FELICIDAD,"Córdoba, Argentina",NULL,CS 071 - Coop. el Arco
"Centro de Salud Mental ""Tramas""",San Jerónimo 2573,-64.15085,-31.42298,Salud Mental,"Centro de Salud Mental ""Tramas""","Córdoba, Argentina",NULL,CS 032 - Yapeyu
Clínica Mehelar#18#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#18#1,"Córdoba, Argentina",NULL,CS 018 - San Jorge
CAPS (Centro de Atención Primaria de la Salud) Ciudad Obispo Angelelli,Camino San Antonio Km 8 1/2,-64.1944125253147,-31.5040980914683,CAPS,CAPS (Centro de Atención Primaria de la Salud) Ciudad Obispo Angelelli,"Córdoba, Argentina",NULL,CS 089 - Villa Rivadavia
CAPS (Centro de Atención Primaria de la Salud) Ciudad Ampliación Ferreyra,ferreyra,-64.1168986020256,-31.4698972126292,CAPS,CAPS (Centro de Atención Primaria de la Salud) Ciudad Ampliación Ferreyra,"Córdoba, Argentina",NULL,CS 012 - Ferreyra
Centro Vecinal de Paque Liceo III Sección,Constancio C. Vigil esq. Juan Luis Orrego 4735,-64.151610729017,-31.3537635250017,Centro Vecinal,Centro Vecinal de Paque Liceo III Sección,"Córdoba, Argentina",NULL,CS 094 - Parque Liceo III Seccion
CENTRO CULTURAL SAN VICENTE,SAN JERÓNIMO 2850,-64.1476211547852,-31.4232845306396,CPC,CENTRO CULTURAL SAN VICENTE,"Córdoba, Argentina",NULL,CS 032 - Yapeyu
CAAC (Casas de Atención y Acompañamiento Comunitario) Puentes Cura Brochero,Rio Quinto 180,-64.2071197864176,-31.4822075972296,Centro Comunitario,CAAC (Casas de Atención y Acompañamiento Comunitario) Puentes Cura Brochero,"Córdoba, Argentina",NULL,CS 041 - Villa el Libertador
Centro Vecinal de Villa 9 de Julio,Huarpes esquina Coquena,-64.2713831861777,-31.3267185408324,Centro Vecinal,Centro Vecinal de Villa 9 de Julio,"Córdoba, Argentina",NULL,CS 034 - Villa 9 de Julio
Centro Vecinal de Comercial,Villa María 6082,-64.2115509910176,-31.4840024585173,Centro Vecinal,Centro Vecinal de Comercial,"Córdoba, Argentina",NULL,CS 042 - Comercial
CAPS Ciudad Evita,Manzana 53 barrio Ciudad Evita,-64.1107914723063,-31.4491884184633,CAPS,CAPS Ciudad Evita,"Córdoba, Argentina",NULL,CS 091 - Villa Bustos
Centro de Encuentro Barrial Comunidad Reno,Calle Pública y Pasaje Aran,-64.2466368383769,-31.4627264592329,Centro Comunitario,Centro de Encuentro Barrial Comunidad Reno,"Córdoba, Argentina",NULL,CS 059 - Congreso
CAPS General Savio,Escolástico Magan 800,-64.161145618107,-31.371813026412,CAPS,CAPS General Savio,"Córdoba, Argentina",NULL,CS 048 - Villa Azalais Este
Clínica Mehelar#01#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#01#6,"Córdoba, Argentina",NULL,CS 101 - 12 de Julio
CHALET SAN FELIPE,DIEGO DE TORRES 2731,-64.1431198120117,-31.4424324035645,CPC,CHALET SAN FELIPE,"Córdoba, Argentina",NULL,CS 037 - Jose I. Diaz Il secc.
Clínica Mehelar#69#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#69#2,"Córdoba, Argentina",NULL,CS 069 - Gral Arenales
Clínica Mehelar#22#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#22#5,"Córdoba, Argentina",NULL,CS 022 - Alberdi Sud
CIELITOS DEL SUR,JULIO BEJANELE 5500,-64.2413036,-31.3319499,Sala Cuna,CIELITOS DEL SUR,"Córdoba, Argentina",NULL,CS 057 - Arguello I.P.V
Biblioteca,Congreso esquina Bernasconi,-64.2259939885314,-31.4768400222945,Centro Comunitario,Biblioteca,"Córdoba, Argentina",NULL,CS 046 - Santa Isabel
Clínica Mehelar#24#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#24#4,"Córdoba, Argentina",NULL,CS 024 - Cupani
CARICIAS DE BEBÉ,PÚBLICA S/N. MANZANA 6 LOTE 1,-64.166583,-31.342778,Sala Cuna,CARICIAS DE BEBÉ,"Córdoba, Argentina",NULL,CS 015 - Remedios de Escalada
Clínica Mehelar#09#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#09#5,"Córdoba, Argentina",NULL,CS 009 - Alberdi Oeste
Clínica Mehelar#20#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#20#6,"Córdoba, Argentina",NULL,CS 020 - Las Margaritas
Clínica Mehelar#01#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#01#1,"Córdoba, Argentina",NULL,CS 001 - General Mosconi
Asociación Confluir,Entre Rios 450,-64.1791594327092,-31.4199053168044,Centro Comunitario,Asociación Confluir,"Córdoba, Argentina",NULL,NULL
Clínica Mehelar#13#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#13#1,"Córdoba, Argentina",NULL,CS 013 - Hipolito Yrigoyen
Clínica Mehelar#99#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#99#5,"Córdoba, Argentina",NULL,CS 099 - Los Robles
Centro de Encuentro Barrial Villa Ines,Av Ramon Bautista Mestre (NE) esquina Solares,-64.1403568792893,-31.4082124919393,Centro Comunitario,Centro de Encuentro Barrial Villa Ines,"Córdoba, Argentina",NULL,CS 058 - Maldonado
Centro Pueblo,Av. General Paz 346,-64.1845530740607,-31.4112575701391,Centro Comunitario,Centro Pueblo,"Córdoba, Argentina",NULL,NULL
BRILLITOS DE AMOR,CALLE PUBLICA S/N,-64.240655,-31.448197,Sala Cuna,BRILLITOS DE AMOR,"Córdoba, Argentina",NULL,CS 070 - Estacion Flores
Clínica Mehelar#39#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#39#4,"Córdoba, Argentina",NULL,CS 039 - Ferrer
Cisdem,Roma 155,NULL,NULL,Repartición,Cisdem,"Córdoba, Argentina",NULL,Cisdem
CAPS Juan Pablo II,CIUDAD DE JUAN PABLO II,-64.157426159699,-31.3634466237826,CAPS,CAPS Juan Pablo II,"Córdoba, Argentina",NULL,CS 001 - General Mosconi
Centro de Adicciones Lazos,Castro Barros 559,-64.19751172,-31.40003464,Salud Mental,Centro de Adicciones Lazos,"Córdoba, Argentina",NULL,CS 030 - Villa Paez
Clínica Mehelar#63#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#63#5,"Córdoba, Argentina",NULL,CS 063 - Parque Republica
Clínica San Nicolás#09#5,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#09#5,"Córdoba, Argentina",NULL,CS 009 - Alberdi Oeste
Clínica Mehelar#21#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#21#6,"Córdoba, Argentina",NULL,CS 021 - Marquez de Sobremonte
Clínica Mehelar#05#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#05#2,"Córdoba, Argentina",NULL,CS 005 - Yofre Norte
Centro de Capacitación,Congreso esquina Cottolengo,-64.2273236557112,-31.482381864482,Centro Comunitario,Centro de Capacitación,"Córdoba, Argentina",NULL,CS 046 - Santa Isabel
Clínica Mehelar#26#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#26#5,"Córdoba, Argentina",NULL,CS 026 - Santa Ana
Centro Vecinal de 1 de Mayo Sudeste,Almagro y Ancasti,-64.1155268885321,-31.4392195139149,Centro Vecinal,Centro Vecinal de 1 de Mayo Sudeste,"Córdoba, Argentina",NULL,CS 091 - Villa Bustos
CIC (Centro de Integración Comunitaria) de Villa La Tela,Almonacid esquina Zaar,-64.2529216302076,-31.426972908074,Centro Comunitario,CIC (Centro de Integración Comunitaria) de Villa La Tela,"Córdoba, Argentina",NULL,CS 093 - Villa la Tela
Clínica Mehelar#65#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#65#5,"Córdoba, Argentina",NULL,CS 065 - San Roque
Capilla de Bajada San José,Norbero de la Riestra,-64.130016673192,-31.4116978580361,Centro Comunitario,Capilla de Bajada San José,"Córdoba, Argentina",NULL,CS 058 - Maldonado
Clínica Mehelar#23#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#23#5,"Córdoba, Argentina",NULL,CS 023 - Rosedal Anexo
CAPS El Chingolo III,Mzna K Lote 7,-64.170939188535,-31.3408304436329,CAPS,CAPS El Chingolo III,"Córdoba, Argentina",NULL,CS 015 - Remedios de Escalada
Clínica Mehelar#71#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#71#3,"Córdoba, Argentina",NULL,CS 071 - Coop. el Arco
Clínica Mehelar#28#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#28#5,"Córdoba, Argentina",NULL,CS 028 - Las Violetas
Clínica Mehelar#53#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#53#4,"Córdoba, Argentina",NULL,CS 053 - Inaudi
Clínica San Nicolás#20#6,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#20#6,"Córdoba, Argentina",NULL,CS 020 - Las Margaritas
Clínica Mehelar#73#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#73#4,"Córdoba, Argentina",NULL,CS 073 - Parque Futura
Clínica Mehelar#08#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#08#2,"Córdoba, Argentina",NULL,CS 008 - Acosta
Clínica San Nicolás#22#5,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#22#5,"Córdoba, Argentina",NULL,CS 022 - Alberdi Sud
"Centro Vecinal de Colonia Lola ",Lola Mora 1362,-64.1150715731916,-31.4249299812788,Centro Vecinal,"Centro Vecinal de Colonia Lola ","Córdoba, Argentina",NULL,CS 010 - Colonia Lola
Clínica Mehelar#54#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#54#6,"Córdoba, Argentina",NULL,CS 054 - Los Boulevares
Clínica Mehelar#38#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#38#3,"Córdoba, Argentina",NULL,CS 038 - Urquiza
Clínica Mehelar#93#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#93#5,"Córdoba, Argentina",NULL,CS 093 - Villa la Tela
Clínica Mehelar#02#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#02#3,"Córdoba, Argentina",NULL,CS 002 - Los Sauces
Clínica Mehelar#41#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#41#4,"Córdoba, Argentina",NULL,CS 041 - Villa el Libertador
Clínica San Nicolás#29#5,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#29#5,"Córdoba, Argentina",NULL,CS 029 - Villa Siburu
Casa del Joven,RECTOR LEON MORRA 102,-64.1708642955672,-31.4186583216877,Centro Comunitario,Casa del Joven,"Córdoba, Argentina",NULL,CS 032 - Yapeyu
Clínica Mehelar#03#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#03#2,"Córdoba, Argentina",NULL,CS 003 - Los Pinos
Centro Vecinal de Estacion Flores,Estocolmo 4648,-64.2475015866854,-31.4484336811759,Centro Vecinal,Centro Vecinal de Estacion Flores,"Córdoba, Argentina",NULL,CS 070 - Estacion Flores
Clínica Mehelar#04#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#04#1,"Córdoba, Argentina",NULL,CS 004 - Nueva Italia
Clínica Mehelar#74#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#74#1,"Córdoba, Argentina",NULL,CS 074 - Villa Esquiu
Centro de Acompañamiento Comunitario Cura Brochero,Martín Cartechini 402,-64.1317007722093,-31.4143890064676,Centro Comunitario,Centro de Acompañamiento Comunitario Cura Brochero,"Córdoba, Argentina",NULL,CS 058 - Maldonado
Clínica Mehelar#30#5,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#30#5,"Córdoba, Argentina",NULL,CS 030 - Villa Paez
Clínica Mehelar#40#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#40#4,"Córdoba, Argentina",NULL,CS 040 - Las Flores
Clínica Mehelar#46#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#46#4,"Córdoba, Argentina",NULL,CS 046 - Santa Isabel
Centro Vecinal San Jorge,Chorroarin esquina Jose Arriola,-64.1313729674913,-31.3691674944143,Centro Vecinal,Centro Vecinal San Jorge,"Córdoba, Argentina",NULL,CS 018 - San Jorge
Clínica Mehelar#66#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#66#6,"Córdoba, Argentina",NULL,CS 066 - Mercantil Anexo
Clínica Mehelar#72#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#72#2,"Córdoba, Argentina",NULL,CS 072 - La Floresta
Clínica San Nicolás,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás,"Córdoba, Argentina",NULL,CS 007 - Pueyrredon
Clínica Mehelar#81#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#81#3,"Córdoba, Argentina",NULL,CS 081 - San Lorenzo
CARICIA DE MAMA,GREGORIO LEMOS 5014,-64.121447,-31.416221,Sala Cuna,CARICIA DE MAMA,"Córdoba, Argentina",NULL,CS 080 - Renacimiento
Clínica Mehelar#75#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#75#3,"Córdoba, Argentina",NULL,CS 075 - Cerveceros
Clínica Mehelar,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar,"Córdoba, Argentina",NULL,CS 008 - Acosta
Clínica San Nicolás#38#3,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#38#3,"Córdoba, Argentina",NULL,CS 038 - Urquiza
Clínica Mehelar#78#1,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#78#1,"Córdoba, Argentina",NULL,CS 078 - Parque Liceo ll Seccion
Clínica San Nicolás#43#4,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#43#4,"Córdoba, Argentina",NULL,CS 043 - Guemes
Clínica Mehelar#86#4,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#86#4,"Córdoba, Argentina",NULL,CS 086 - Villa el Libertador Anexo
Clínica Mehelar#47#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#47#3,"Córdoba, Argentina",NULL,CS 047 - Coronel Olmedo
Clínica San Nicolás#02#3,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#02#3,"Córdoba, Argentina",NULL,CS 002 - Los Sauces
Centro Vecinal de Marqués Anexo,Del Molino 1081,-64.1915176596987,-31.3715806461813,Centro Vecinal,Centro Vecinal de Marqués Anexo,"Córdoba, Argentina",NULL,CS 060 - Marquez Anexo
CARITAS FELICES,AV LOS CHAÑARES 5126,-64.097639,-31.461111,Sala Cuna,CARITAS FELICES,"Córdoba, Argentina",NULL,CS 002 - Los Sauces
Clínica Mehelar#31#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#31#6,"Córdoba, Argentina",NULL,CS 031 - La Salle
Clínica San Nicolás#05#2,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#05#2,"Córdoba, Argentina",NULL,CS 005 - Yofre Norte
CASITA DEL SOL,TACUARI S/N,-64.2475227,-31.3923015,Sala Cuna,CASITA DEL SOL,"Córdoba, Argentina",NULL,CS 052 - Villa Urquiza
Centro Vecinal 1 de Mayo,Arroyo 5450,-64.1162137305071,-31.4331313373034,Centro Vecinal,Centro Vecinal 1 de Mayo,"Córdoba, Argentina",NULL,CS 056 - Empalme
Clínica Mehelar#33#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#33#6,"Córdoba, Argentina",NULL,CS 033 - Arguello
Clínica Mehelar#84#2,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#84#2,"Córdoba, Argentina",NULL,CS 084 - Bajo Grande
Clínica Mehelar#49#6,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#49#6,"Córdoba, Argentina",NULL,CS 049 - Colinas del Cerro
Clínica Mehelar#35#3,Ramón Ocampo 1443,-64.1456530182394,-31.4250920814546,Clinica,Clínica Mehelar#35#3,"Córdoba, Argentina",NULL,CS 035 - Villa Revol
Clínica San Nicolás#01#1,David Luque 966,-64.1711435182399,-31.406296961262,Clinica,Clínica San Nicolás#01#1,"Córdoba, Argentina",NULL,CS 001 - General Mosconi
